0.000000,100.000000,20.000000,5.000000,0.000000,50.000000,0.000010
x_i,y_i_aproximado,y_i_analitico,erro
5.0000000000000000,46.5116196289062529,46.5176994106264488,0.0060797817201959
10.0000000000000000,43.5099911623497917,43.5204555170429472,0.0104643546931555
15.0000000000000000,40.9271955687554012,40.9407037905443332,0.0135082217889320
20.0000000000000000,38.7047909132106938,38.7202909023506621,0.0154999891399683
25.0000000000000000,36.7924899687471694,36.8091638185253700,0.0166738497782006
30.0000000000000000,35.1470223474152661,35.1642414935149787,0.0172191460997126
35.0000000000000000,33.7311554041443458,33.7484437277788842,0.0172883236345385
40.0000000000000000,32.5128517589928947,32.5298552978050566,0.0170035388121619
45.0000000000000000,31.4645443747125775,31.4810065161472892,0.0164621414347117
50.0000000000000000,30.5625127865201023,30.5782540037107466,0.0157412171906444
55.0000000000000000,29.7863463697819135,29.8012477155188549,0.0149013457369414
60.0000000000000000,29.1184825007577928,29.1324722055396634,0.0139897047818707
65.0000000000000000,28.5438287068883838,28.5568517896628400,0.0130230827744562
70.0000000000000000,28.0493566262465421,28.0614107063245477,0.0120540800780056
75.0000000000000000,27.6238784668004449,27.6349806140466079,0.0111021472461630
80.0000000000000000,27.2577674743847460,27.2679488322353123,0.0101813578505663
85.0000000000000000,26.9427401203553387,26.9520416500288285,0.0093015296734897
90.0000000000000000,26.6716686807027266,26.6801378184937441,0.0084691377910175
95.0000000000000000,26.4384199660895796,26.4461080218709625,0.0076880557813830
100.0000000000000000,26.2377165539617394,26.2446767091966002,0.0069601552348608
Tempo=0.003320

