0.000000,100.000000,20.000000,5.000000,0.000000,50.000000
x_i,y_i_aproximado,y_i_analitico,erro
5.0000000000000000,46.5312500000000000,46.5176994106264488,0.0135505893735512
10.0000000000000000,43.5437890624999966,43.5204555170429472,0.0233335454570494
15.0000000000000000,40.9708383300781236,40.9407037905443332,0.0301345395337904
20.0000000000000000,38.7548845117797853,38.7202909023506621,0.0345936094291233
25.0000000000000000,36.8463942857703373,36.8091638185253700,0.0372304672449673
30.0000000000000000,35.2027070786197029,35.1642414935149787,0.0384655851047242
35.0000000000000000,33.7870814714612209,33.7484437277788842,0.0386377436823366
40.0000000000000000,32.5678739172959766,32.5298552978050566,0.0380186194909200
45.0000000000000000,31.5178314112711604,31.4810065161472892,0.0368248951238712
50.0000000000000000,30.6134823029572871,30.5782540037107466,0.0352282992465405
55.0000000000000000,29.8346116334219644,29.8012477155188549,0.0333639179031096
60.0000000000000000,29.1638092692846662,29.1324722055396634,0.0313370637450028
65.0000000000000000,28.5860807331714177,28.5568517896628400,0.0292289435085777
70.0000000000000000,28.0885120314438836,28.0614107063245477,0.0271013251193359
75.0000000000000000,27.6599809870810454,27.6349806140466079,0.0250003730344375
80.0000000000000000,27.2909086251235493,27.2679488322353123,0.0229597928882370
85.0000000000000000,26.9730450533876578,26.9520416500288285,0.0210034033588293
90.0000000000000000,26.6992850522301204,26.6801378184937441,0.0191472337363763
95.0000000000000000,26.4635092512331909,26.4461080218709625,0.0174012293622283
100.0000000000000000,26.2604473426245875,26.2446767091966002,0.0157706334279872
Tempo=0.001824

