0.000000,100.000000,20.000000,5.000000,0.000000,50.000000,EULER
x_i,y_i_aproximado,y_i_analitico,erro
5.0000000000000000,46.2500000000000000,46.5176994106264488,0.2676994106264488
10.0000000000000000,43.0625000000000000,43.5204555170429472,0.4579555170429472
15.0000000000000000,40.3531249999999986,40.9407037905443332,0.5875787905443346
20.0000000000000000,38.2282226562499972,38.7202909023506621,0.4920682461006649
25.0000000000000000,36.3608453369140605,36.8091638185253700,0.4483184816113095
30.0000000000000000,34.7990673255920413,35.1642414935149787,0.3651741679229374
35.0000000000000000,33.4245364423990239,33.7484437277788842,0.3239072853798604
40.0000000000000000,32.2589001568891121,32.5298552978050566,0.2709551409159445
45.0000000000000000,31.2432142722513788,31.4810065161472892,0.2377922438959104
50.0000000000000000,30.3768522837776054,30.5782540037107466,0.2014017199331413
55.0000000000000000,29.6260040877260877,29.8012477155188549,0.1752436277927671
60.0000000000000000,28.9830992955801179,29.1324722055396634,0.1493729099595456
65.0000000000000000,28.4275316322640172,28.5568517896628400,0.1293201573988227
70.0000000000000000,27.9507699945942605,28.0614107063245477,0.1106407117302872
75.0000000000000000,27.5394661161815293,27.6349806140466079,0.0955144978650786
80.0000000000000000,27.1860537196660914,27.2679488322353123,0.0818951125692209
85.0000000000000000,26.8814589769377399,26.9520416500288285,0.0705826730910886
90.0000000000000000,26.6195440355712130,26.6801378184937441,0.0605937829225311
95.0000000000000000,26.3939338174518277,26.4461080218709625,0.0521742044191349
100.0000000000000000,26.1998540641340121,26.2446767091966002,0.0448226450625882
Tempo=0.032704

0.000000,100.000000,20.000000,5.000000,0.000000,50.000000,RK2
x_i,y_i_aproximado,y_i_analitico,erro
5.0000000000000000,46.5312500000000000,46.5176994106264488,0.0135505893735512
10.0000000000000000,43.5437890624999966,43.5204555170429472,0.0233335454570494
15.0000000000000000,40.9708383300781236,40.9407037905443332,0.0301345395337904
20.0000000000000000,38.7460333084106452,38.7202909023506621,0.0257424060599831
25.0000000000000000,36.8329625846576718,36.8091638185253700,0.0237987661323018
30.0000000000000000,35.1840632495930805,35.1642414935149787,0.0198217560781018
35.0000000000000000,33.7662859141349045,33.7484437277788842,0.0178421863560203
40.0000000000000000,32.5450902303344947,32.5298552978050566,0.0152349325294381
45.0000000000000000,31.4945729134128527,31.4810065161472892,0.0135663972655635
50.0000000000000000,30.5899654370089422,30.5782540037107466,0.0117114332981956
55.0000000000000000,29.8115900467633459,29.8012477155188549,0.0103423312444910
60.0000000000000000,29.1414470623150841,29.1324722055396634,0.0089748567754206
65.0000000000000000,28.5647386834594137,28.5568517896628400,0.0078868937965737
70.0000000000000000,28.0682737227666550,28.0614107063245477,0.0068630164421073
75.0000000000000000,27.6409943270613532,27.6349806140466079,0.0060137130147453
80.0000000000000000,27.2731890391094502,27.2679488322353123,0.0052402068741380
85.0000000000000000,26.9566252175742562,26.9520416500288285,0.0045835675454278
90.0000000000000000,26.6841342159774015,26.6801378184937441,0.0039963974836574
95.0000000000000000,26.4495995938188173,26.4461080218709625,0.0034915719478548
100.0000000000000000,26.2477215274711249,26.2446767091966002,0.0030448182745246
Tempo=0.032818

0.000000,100.000000,20.000000,5.000000,0.000000,50.000000,RK3
x_i,y_i_aproximado,y_i_analitico,erro
5.0000000000000000,46.5171874999999986,46.5176994106264488,0.0005119106264502
10.0000000000000000,43.5195743164062492,43.5204555170429472,0.0008812006366981
15.0000000000000000,40.9395661194519036,40.9407037905443332,0.0011376710924296
20.0000000000000000,38.7198336856901193,38.7202909023506621,0.0004572166605428
25.0000000000000000,36.8090460989880839,36.8091638185253700,0.0001177195372861
30.0000000000000000,35.1645765642337622,35.1642414935149787,0.0003350707187835
35.0000000000000000,33.7489781736835894,33.7484437277788842,0.0005344459047052
40.0000000000000000,32.5306032689701325,32.5298552978050566,0.0007479711650760
45.0000000000000000,31.4818446093964965,31.4810065161472892,0.0008380932492074
50.0000000000000000,30.5791767094230025,30.5782540037107466,0.0009227057122558
55.0000000000000000,29.8021929315941634,29.8012477155188549,0.0009452160753085
60.0000000000000000,29.1334303909150343,29.1324722055396634,0.0009581853753708
65.0000000000000000,28.5577914827878203,28.5568517896628400,0.0009396931249803
70.0000000000000000,28.0623246917033207,28.0614107063245477,0.0009139853787730
75.0000000000000000,27.6358537627113847,27.6349806140466079,0.0008731486647768
80.0000000000000000,27.2687774409392318,27.2679488322353123,0.0008286087039195
85.0000000000000000,26.9528194565666155,26.9520416500288285,0.0007778065377870
90.0000000000000000,26.6808640309994871,26.6801378184937441,0.0007262125057430
95.0000000000000000,26.4467811858876694,26.4461080218709625,0.0006731640167068
100.0000000000000000,26.2452979963916455,26.2446767091966002,0.0006212871950453
Tempo=0.038429

0.000000,100.000000,20.000000,5.000000,0.000000,50.000000,RK4
x_i,y_i_aproximado,y_i_analitico,erro
5.0000000000000000,46.5177148437499994,46.5176994106264488,0.0000154331235507
10.0000000000000000,43.5204820838775603,43.5204555170429472,0.0000265668346131
15.0000000000000000,40.9407380899863256,40.9407037905443332,0.0000342994419924
20.0000000000000000,38.7208155823661926,38.7202909023506621,0.0005246800155305
25.0000000000000000,36.8099423746745202,36.8091638185253700,0.0007785561491502
30.0000000000000000,35.1653068632864603,35.1642414935149787,0.0010653697714815
35.0000000000000000,33.7496267938325190,33.7484437277788842,0.0011830660536347
40.0000000000000000,32.5311461916540878,32.5298552978050566,0.0012908938490312
45.0000000000000000,31.4823216149391847,31.4810065161472892,0.0013150987918955
50.0000000000000000,30.5795810329623770,30.5782540037107466,0.0013270292516303
